epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.99306,2.15108,0,1,2.005,1e-05,1e-05,1e-05
2,4.49901,2.08386,0,1,1.92015,2.406e-05,2.406e-05,2.406e-05
3,6.17155,2.00854,0,1,1.89653,3.02e-05,3.02e-05,3.02e-05
4,7.80587,2.0236,0,1,1.86818,2.842e-05,2.842e-05,2.842e-05
5,9.35256,1.97612,0,1,1.90707,1.872e-05,1.872e-05,1.872e-05
